Disease,City,State,Date,Population_Affected,Number_of_Deaths,Survived,Doctors_Available,Hospitals_Available
Heat Stroke,Amritsar,Punjab,2018-01-01,3264,158,3106,45,5
Heat Stroke,Amritsar,Punjab,2018-02-01,2412,29,2383,52,8
Heat Stroke,Amritsar,Punjab,2018-03-01,3466,261,3205,126,9
Heat Stroke,Amritsar,Punjab,2018-04-01,4641,332,4309,160,4
Heat Stroke,Amritsar,Punjab,2018-05-01,2283,69,2214,159,7
Heat Stroke,Amritsar,Punjab,2018-06-01,2283,161,2122,55,8
Heat Stroke,Amritsar,Punjab,2018-07-01,4716,287,4429,157,5
Heat Stroke,Amritsar,Punjab,2018-08-01,3627,46,3581,16,10
Heat Stroke,Amritsar,Punjab,2018-09-01,1968,49,1919,96,8
Heat Stroke,Amritsar,Punjab,2018-10-01,3325,276,3049,131,3
Heat Stroke,Amritsar,Punjab,2018-11-01,1976,116,1860,11,6
Heat Stroke,Amritsar,Punjab,2018-12-01,1973,66,1907,200,7
Heat Stroke,Amritsar,Punjab,2019-01-01,2922,73,2849,174,10
Heat Stroke,Amritsar,Punjab,2019-02-01,78,0,78,139,7
Heat Stroke,Amritsar,Punjab,2019-03-01,283,10,273,57,6
Heat Stroke,Amritsar,Punjab,2019-04-01,1843,46,1797,103,8
Heat Stroke,Amritsar,Punjab,2019-05-01,1239,0,1239,146,4
Heat Stroke,Amritsar,Punjab,2019-06-01,3019,251,2768,49,2
Heat Stroke,Amritsar,Punjab,2019-07-01,1379,108,1271,97,7
Heat Stroke,Amritsar,Punjab,2019-08-01,703,9,694,153,4
Heat Stroke,Amritsar,Punjab,2019-09-01,4564,246,4318,30,10
Heat Stroke,Amritsar,Punjab,2019-10-01,2295,54,2241,123,6
Heat Stroke,Amritsar,Punjab,2019-11-01,2688,114,2574,17,7
Heat Stroke,Amritsar,Punjab,2019-12-01,686,27,659,58,3
Heat Stroke,Amritsar,Punjab,2020-01-01,1867,70,1797,81,8
Heat Stroke,Amritsar,Punjab,2020-02-01,2746,297,2449,132,5
Heat Stroke,Amritsar,Punjab,2020-03-01,1053,39,1014,71,4
Heat Stroke,Amritsar,Punjab,2020-04-01,3101,82,3019,113,5
Heat Stroke,Amritsar,Punjab,2020-05-01,1792,49,1743,71,1
Heat Stroke,Amritsar,Punjab,2020-06-01,2206,177,2029,79,4
Heat Stroke,Amritsar,Punjab,2020-07-01,1790,3,1787,170,6
Heat Stroke,Amritsar,Punjab,2020-08-01,4989,139,4850,48,1
Heat Stroke,Amritsar,Punjab,2020-09-01,2579,237,2342,145,8
Heat Stroke,Amritsar,Punjab,2020-10-01,1178,67,1111,106,4
Heat Stroke,Amritsar,Punjab,2020-11-01,3701,205,3496,77,6
Heat Stroke,Amritsar,Punjab,2020-12-01,960,107,853,44,1
Heat Stroke,Amritsar,Punjab,2021-01-01,2878,164,2714,48,5
Heat Stroke,Amritsar,Punjab,2021-02-01,78,0,78,69,2
Heat Stroke,Amritsar,Punjab,2021-03-01,816,34,782,99,4
Heat Stroke,Amritsar,Punjab,2021-04-01,2861,48,2813,137,1
Heat Stroke,Amritsar,Punjab,2021-05-01,3588,310,3278,91,2
Heat Stroke,Amritsar,Punjab,2021-06-01,2827,188,2639,94,4
Heat Stroke,Amritsar,Punjab,2021-07-01,2442,202,2240,102,4
Heat Stroke,Amritsar,Punjab,2021-08-01,2193,187,2006,131,7
Heat Stroke,Amritsar,Punjab,2021-09-01,614,23,591,139,1
Heat Stroke,Amritsar,Punjab,2021-10-01,1632,36,1596,36,5
Heat Stroke,Amritsar,Punjab,2021-11-01,1979,96,1883,92,5
Heat Stroke,Amritsar,Punjab,2021-12-01,4016,99,3917,169,3
Heat Stroke,Amritsar,Punjab,2022-01-01,3058,167,2891,39,2
Heat Stroke,Amritsar,Punjab,2022-02-01,232,19,213,110,8
Heat Stroke,Amritsar,Punjab,2022-03-01,3032,136,2896,98,10
Heat Stroke,Amritsar,Punjab,2022-04-01,2081,113,1968,77,1
Heat Stroke,Amritsar,Punjab,2022-05-01,1689,79,1610,187,2
Heat Stroke,Amritsar,Punjab,2022-06-01,3418,250,3168,108,2
Heat Stroke,Amritsar,Punjab,2022-07-01,3980,121,3859,183,4
Heat Stroke,Amritsar,Punjab,2022-08-01,3847,0,3847,106,8
Heat Stroke,Amritsar,Punjab,2022-09-01,1472,93,1379,130,6
Heat Stroke,Amritsar,Punjab,2022-10-01,2183,172,2011,77,4
Heat Stroke,Amritsar,Punjab,2022-11-01,3042,191,2851,77,5
Heat Stroke,Amritsar,Punjab,2022-12-01,3906,122,3784,127,4
Heat Stroke,Amritsar,Punjab,2023-01-01,1955,33,1922,128,7
Heat Stroke,Amritsar,Punjab,2023-02-01,2348,151,2197,137,7
Heat Stroke,Amritsar,Punjab,2023-03-01,1113,60,1053,125,7
Heat Stroke,Amritsar,Punjab,2023-04-01,993,46,947,38,1
Heat Stroke,Amritsar,Punjab,2023-05-01,3687,380,3307,65,5
Heat Stroke,Amritsar,Punjab,2023-06-01,4417,99,4318,150,4
Heat Stroke,Amritsar,Punjab,2023-07-01,2501,254,2247,11,8
Heat Stroke,Amritsar,Punjab,2023-08-01,3944,201,3743,121,6
Heat Stroke,Amritsar,Punjab,2023-09-01,3083,0,3083,101,6
Heat Stroke,Amritsar,Punjab,2023-10-01,1732,77,1655,149,3
Heat Stroke,Amritsar,Punjab,2023-11-01,3082,240,2842,127,8
Heat Stroke,Amritsar,Punjab,2023-12-01,4661,183,4478,72,8
Heat Stroke,Amritsar,Punjab,2024-01-01,2549,18,2531,70,1
Heat Stroke,Amritsar,Punjab,2024-02-01,4696,212,4484,80,1
Heat Stroke,Amritsar,Punjab,2024-03-01,78,0,78,136,7
Heat Stroke,Amritsar,Punjab,2024-04-01,3700,238,3462,11,4
Heat Stroke,Amritsar,Punjab,2024-05-01,2714,196,2518,114,8
Heat Stroke,Amritsar,Punjab,2024-06-01,2196,42,2154,61,6
Heat Stroke,Amritsar,Punjab,2024-07-01,2721,80,2641,116,7
Heat Stroke,Amritsar,Punjab,2024-08-01,78,0,78,124,3
Heat Stroke,Amritsar,Punjab,2024-09-01,2303,57,2246,22,6
Heat Stroke,Amritsar,Punjab,2024-10-01,3076,57,3019,95,6
Heat Stroke,Amritsar,Punjab,2024-11-01,4580,72,4508,114,3
Heat Stroke,Amritsar,Punjab,2024-12-01,1902,114,1788,111,8
Heat Stroke,Amritsar,Punjab,2025-01-01,1513,89,1424,100,1
Heat Stroke,Amritsar,Punjab,2025-02-01,1924,58,1866,44,5
Heat Stroke,Amritsar,Punjab,2025-03-01,3825,192,3633,52,1
Heat Stroke,Amritsar,Punjab,2025-04-01,3038,287,2751,36,2
Heat Stroke,Amritsar,Punjab,2025-05-01,1887,40,1847,134,8
Heat Stroke,Amritsar,Punjab,2025-06-01,3286,0,3286,100,2
Heat Stroke,Amritsar,Punjab,2025-07-01,2728,172,2556,104,2
Heat Stroke,Amritsar,Punjab,2025-08-01,3897,182,3715,19,7
Heat Stroke,Amritsar,Punjab,2025-09-01,1656,48,1608,104,2
Heat Stroke,Amritsar,Punjab,2025-10-01,2158,149,2009,138,8
Heat Stroke,Amritsar,Punjab,2025-11-01,2071,154,1917,12,7
Heat Stroke,Amritsar,Punjab,2025-12-01,634,0,634,79,3
Heat Stroke,Amritsar,Chandigarh,2018-01-01,2995,93,2902,26,8
Heat Stroke,Amritsar,Chandigarh,2018-02-01,2948,346,2602,85,1
Heat Stroke,Amritsar,Chandigarh,2018-03-01,2604,174,2430,60,6
Heat Stroke,Amritsar,Chandigarh,2018-04-01,2283,159,2124,126,1
Heat Stroke,Amritsar,Chandigarh,2018-05-01,699,58,641,115,3
Heat Stroke,Amritsar,Chandigarh,2018-06-01,2033,102,1931,172,3
Heat Stroke,Amritsar,Chandigarh,2018-07-01,2138,156,1982,103,9
Heat Stroke,Amritsar,Chandigarh,2018-08-01,1521,107,1414,123,3
Heat Stroke,Amritsar,Chandigarh,2018-09-01,2381,156,2225,78,5
Heat Stroke,Amritsar,Chandigarh,2018-10-01,3139,127,3012,50,4
Heat Stroke,Amritsar,Chandigarh,2018-11-01,4989,274,4715,149,2
Heat Stroke,Amritsar,Chandigarh,2018-12-01,2832,93,2739,170,2
Heat Stroke,Amritsar,Chandigarh,2019-01-01,2943,148,2795,142,6
Heat Stroke,Amritsar,Chandigarh,2019-02-01,2498,40,2458,113,5
Heat Stroke,Amritsar,Chandigarh,2019-03-01,78,0,78,57,7
Heat Stroke,Amritsar,Chandigarh,2019-04-01,2562,107,2455,164,4
Heat Stroke,Amritsar,Chandigarh,2019-05-01,2678,60,2618,136,4
Heat Stroke,Amritsar,Chandigarh,2019-06-01,4989,176,4813,200,7
Heat Stroke,Amritsar,Chandigarh,2019-07-01,2339,105,2234,47,4
Heat Stroke,Amritsar,Chandigarh,2019-08-01,3002,185,2817,150,1
Heat Stroke,Amritsar,Chandigarh,2019-09-01,2551,198,2353,134,7
Heat Stroke,Amritsar,Chandigarh,2019-10-01,1030,37,993,89,3
Heat Stroke,Amritsar,Chandigarh,2019-11-01,4131,367,3764,176,5
Heat Stroke,Amritsar,Chandigarh,2019-12-01,3606,279,3327,127,3
Heat Stroke,Amritsar,Chandigarh,2020-01-01,3659,236,3423,58,2
Heat Stroke,Amritsar,Chandigarh,2020-02-01,1377,75,1302,100,1
Heat Stroke,Amritsar,Chandigarh,2020-03-01,4479,265,4214,58,6
Heat Stroke,Amritsar,Chandigarh,2020-04-01,717,60,657,82,1
Heat Stroke,Amritsar,Chandigarh,2020-05-01,3385,290,3095,142,9
Heat Stroke,Amritsar,Chandigarh,2020-06-01,4989,442,4547,157,8
Heat Stroke,Amritsar,Chandigarh,2020-07-01,1269,65,1204,117,2
Heat Stroke,Amritsar,Chandigarh,2020-08-01,1838,121,1717,68,9
Heat Stroke,Amritsar,Chandigarh,2020-09-01,2731,243,2488,126,10
Heat Stroke,Amritsar,Chandigarh,2020-10-01,1922,61,1861,143,4
Heat Stroke,Amritsar,Chandigarh,2020-11-01,517,21,496,11,6
Heat Stroke,Amritsar,Chandigarh,2020-12-01,2689,135,2554,112,5
Heat Stroke,Amritsar,Chandigarh,2021-01-01,1172,89,1083,97,9
Heat Stroke,Amritsar,Chandigarh,2021-02-01,3233,247,2986,155,1
Heat Stroke,Amritsar,Chandigarh,2021-03-01,1364,59,1305,126,4
Heat Stroke,Amritsar,Chandigarh,2021-04-01,4677,28,4649,131,7
Heat Stroke,Amritsar,Chandigarh,2021-05-01,1547,88,1459,82,7
Heat Stroke,Amritsar,Chandigarh,2021-06-01,2165,50,2115,106,5
Heat Stroke,Amritsar,Chandigarh,2021-07-01,3689,24,3665,154,9
Heat Stroke,Amritsar,Chandigarh,2021-08-01,946,12,934,103,5
Heat Stroke,Amritsar,Chandigarh,2021-09-01,2903,172,2731,115,5
Heat Stroke,Amritsar,Chandigarh,2021-10-01,4351,390,3961,28,7
Heat Stroke,Amritsar,Chandigarh,2021-11-01,441,22,419,103,5
Heat Stroke,Amritsar,Chandigarh,2021-12-01,2845,159,2686,11,5
Heat Stroke,Amritsar,Chandigarh,2022-01-01,2946,248,2698,80,3
Heat Stroke,Amritsar,Chandigarh,2022-02-01,3646,18,3628,109,10
Heat Stroke,Amritsar,Chandigarh,2022-03-01,938,61,877,145,3
Heat Stroke,Amritsar,Chandigarh,2022-04-01,826,41,785,55,7
Heat Stroke,Amritsar,Chandigarh,2022-05-01,3298,219,3079,125,10
Heat Stroke,Amritsar,Chandigarh,2022-06-01,2996,107,2889,181,1
Heat Stroke,Amritsar,Chandigarh,2022-07-01,2933,77,2856,74,7
Heat Stroke,Amritsar,Chandigarh,2022-08-01,3062,165,2897,27,5
Heat Stroke,Amritsar,Chandigarh,2022-09-01,1685,165,1520,121,10
Heat Stroke,Amritsar,Chandigarh,2022-10-01,2909,218,2691,45,2
Heat Stroke,Amritsar,Chandigarh,2022-11-01,2991,105,2886,64,3
Heat Stroke,Amritsar,Chandigarh,2022-12-01,1639,18,1621,153,5
Heat Stroke,Amritsar,Chandigarh,2023-01-01,4989,20,4969,200,3
Heat Stroke,Amritsar,Chandigarh,2023-02-01,3233,285,2948,55,3
Heat Stroke,Amritsar,Chandigarh,2023-03-01,999,22,977,69,10
Heat Stroke,Amritsar,Chandigarh,2023-04-01,3478,141,3337,84,5
Heat Stroke,Amritsar,Chandigarh,2023-05-01,1290,114,1176,78,3
Heat Stroke,Amritsar,Chandigarh,2023-06-01,3653,11,3642,200,4
Heat Stroke,Amritsar,Chandigarh,2023-07-01,4152,388,3764,79,6
Heat Stroke,Amritsar,Chandigarh,2023-08-01,1496,63,1433,86,6
Heat Stroke,Amritsar,Chandigarh,2023-09-01,3890,64,3826,189,3
Heat Stroke,Amritsar,Chandigarh,2023-10-01,3151,135,3016,136,1
Heat Stroke,Amritsar,Chandigarh,2023-11-01,3700,107,3593,156,5
Heat Stroke,Amritsar,Chandigarh,2023-12-01,4989,313,4676,60,5
Heat Stroke,Amritsar,Chandigarh,2024-01-01,2268,70,2198,79,3
Heat Stroke,Amritsar,Chandigarh,2024-02-01,1586,0,1586,53,9
Heat Stroke,Amritsar,Chandigarh,2024-03-01,1404,61,1343,147,6
Heat Stroke,Amritsar,Chandigarh,2024-04-01,1503,15,1488,169,5
Heat Stroke,Amritsar,Chandigarh,2024-05-01,2494,139,2355,76,4
Heat Stroke,Amritsar,Chandigarh,2024-06-01,3055,47,3008,88,10
Heat Stroke,Amritsar,Chandigarh,2024-07-01,2969,106,2863,90,1
Heat Stroke,Amritsar,Chandigarh,2024-08-01,3707,205,3502,27,3
Heat Stroke,Amritsar,Chandigarh,2024-09-01,2615,114,2501,72,4
Heat Stroke,Amritsar,Chandigarh,2024-10-01,4547,260,4287,146,6
Heat Stroke,Amritsar,Chandigarh,2024-11-01,2242,156,2086,62,7
Heat Stroke,Amritsar,Chandigarh,2024-12-01,4989,81,4908,111,1
Heat Stroke,Amritsar,Chandigarh,2025-01-01,3437,165,3272,40,3
